RNA: ANLN
RNA: FOXC1
RNA: CDH3
RNA: UBE2T
RNA: NDC80
RNA: PGR
RNA: BIRC5
RNA: ORC6
RNA: ESR1
RNA: PHGDH
RNA: CDC6
RNA: MMP11
RNA: MYBL2
RNA: SFRP1
RNA: CCNE1
RNA: BLVRA
RNA: BAG1
RNA: MLPH
RNA: CDC20
RNA: CENPF
RNA: KRT17
RNA: FOXA1
RNA: ACTR3B
RNA: CCNB1
RNA: MDM2
RNA: MYC
RNA: CEP55
RNA: SLC39A6
RNA: ERBB2
RNA: GRB7
RNA: KIF2C
RNA: NUF2
RNA: EGFR
RNA: MKI67
RNA: TMEM45B
RNA: FGFR4
RNA: PTTG1
RNA: MELK
RNA: NAT1
RNA: CXXC5
RNA: BCL2
RNA: RRM2
RNA: GPR160
RNA: EXO1
RNA: UBE2C
RNA: TYMS
RNA: KRT5
RNA: KRT14
RNA: MAPT
RNA: MIA
METH: cg10827253
METH: cg07090813
METH: cg26612362
METH: cg26791905
METH: cg21959457
METH: cg16604136
METH: cg16993579
METH: cg13395333
METH: cg10717074
METH: cg11819639
METH: cg15387598
METH: cg26399396
METH: cg15173196
METH: cg21164723
METH: cg16327647
METH: cg15639974
METH: cg09885951
METH: cg17750334
METH: cg03292648
METH: cg24741598
METH: cg04706276
METH: cg16121177
METH: cg18623836
METH: cg14070755
METH: cg17187163
METH: cg01387102
METH: cg24603464
METH: cg11692852
METH: cg09383389
METH: cg25742394
METH: cg21919556
METH: cg00290373
METH: cg10556830
METH: cg01408486
METH: cg02084046
METH: cg22019649
METH: cg23024444
METH: cg17475304
METH: cg17919667
METH: cg27294629
METH: cg11408622
METH: cg23197992
METH: cg00618323
METH: cg18229134
METH: cg04849878
METH: cg23946695
METH: cg03869498
METH: cg20020464
METH: cg23572376
METH: cg23867624
METH: cg04780909
METH: cg11815762
METH: cg04504095
METH: cg20491838
METH: cg01912921
METH: cg24038058
METH: cg10365447
METH: cg16617518
METH: cg23850750
METH: cg25338972
